sensor,lat,lon,elev
4300,"N 60 38' 24.1531""","E 11 18' 32.8246""",178.583
129,"N 60 38' 24.7223""","E 11 18' 32.8342""",221.696
130,"N 60 38' 24.0251""","E 11 18' 33.7695""",172.958
145,"N 60 38' 23.6872""","E 11 18' 33.1330""",179.104
138,"N 60 38' 24.2952""","E 11 18' 31.8689""",184.699
131,"N 60 39' 53.5939""","E 11 22' 10.1124""",303.972
4610,"N 60 39' 53.5939""","E 11 22' 10.1124""",303.972
146,"N 60 39' 54.1831""","E 11 22' 10.1132""",301.526
622,"N 60 39' 53.5517""","E 11 22' 11.3926""",304.471
611,"N 60 39' 53.1739""","E 11 22' 9.9849""",312.566
140,"N 60 39' 53.5402""","E 11 22' 9.2038""",305.566
430,"N 60 41' 13.2628""","E 11 24' 57.4972""",334.834
4954,"N 60 41' 13.2628""","E 11 24' 57.4972""",334.834
128,"N 60 41' 13.7340""","E 11 24' 57.5060""",336.664
301,"N 60 41' 13.3623""","E 11 24' 58.5475""",334.437
612,"N 60 41' 12.6618""","E 11 24' 57.3134""",334.227
147,"N 60 41' 13.1641""","E 11 24' 56.4306""",334.482
427,"N 60 42' 51.5647""","E 11 29' 10.8425""",333.899
4823,"N 60 42' 51.5647""","E 11 29' 10.8425""",333.899
429,"N 60 42' 52.0784""","E 11 29' 10.9281""",333.972
428,"N 60 42' 51.2496""","E 11 29' 11.6868""",334.234
141,"N 60 42' 51.3502""","E 11 29' 9.8042""",333.622
